,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
15,"(7, 11, 12, 13, 15, 16, 25, 26, 27, 36, 37, 39, 40, 41, 42)","[0.48851923 0.48975621 0.48120834 0.48020964 0.49673877 0.4806652
 0.48898569 0.49019895 0.48396512 0.47434134]",0.4854588506099834,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.004604863831203685,0.006200058619070496,0.0020666862063568317
16,"(7, 11, 12, 13, 15, 16, 25, 26, 27, 36, 37, 39, 40, 41, 42, 50)","[0.4915317  0.48941757 0.48232015 0.48271214 0.49679858 0.48227706
 0.48798347 0.48843567 0.48389407 0.47461671]",0.4859987125887318,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.004336969549308962,0.005839361688098073,0.0019464538960326909
17,"(7, 11, 12, 13, 15, 16, 17, 25, 26, 27, 36, 37, 39, 40, 41, 42, 50)","[0.48899505 0.48895139 0.48284169 0.48326128 0.49769029 0.48441333
 0.49143423 0.48735738 0.48405861 0.47525062]",0.48642538731102014,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.0042224967724541936,0.005685233802279174,0.001895077934093058
18,"(7, 11, 12, 13, 15, 16, 17, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 50)","[0.48892268 0.49085738 0.48138523 0.48180074 0.49926616 0.48437733
 0.49201277 0.48879441 0.48496444 0.47516961]",0.4867550745702318,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.0047342961133785616,0.0063743282101160455,0.0021247760700386815
19,"(7, 11, 12, 13, 15, 16, 17, 24, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 50)","[0.49014993 0.48524128 0.48451884 0.48383336 0.50197528 0.48478004
 0.49146529 0.49157279 0.48203496 0.47328208]",0.4868853836029981,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.0053140939385629546,0.007154976810188368,0.002384992270062789
20,"(7, 11, 12, 13, 15, 16, 17, 24, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 43, 50)","[0.48897936 0.48800893 0.48475549 0.4874906  0.50247341 0.48509716
 0.49360718 0.49247109 0.48027236 0.47325884]",0.48764144142706395,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'max_positive_polarity')",0.005542127844930981,0.00746200512599588,0.002487335041998626
21,"(7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 43, 50)","[0.48709603 0.48409041 0.48933449 0.48234585 0.49963021 0.49270662
 0.4969347  0.49211493 0.48399254 0.47442067]",0.4882666442133298,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'max_positive_polarity')",0.005271561275248203,0.007097710186148429,0.0023659033953828093
22,"(7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 43, 45, 50)","[0.48731431 0.48409041 0.49045431 0.48315092 0.49985774 0.49273201
 0.49658998 0.492111   0.48514299 0.47442272]",0.4885866385357276,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity')",0.005188592636409384,0.006985999950362651,0.0023286666501208834
23,"(4, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 43, 45, 50)","[0.48628611 0.48862637 0.49062042 0.48322288 0.49970289 0.49280253
 0.49690742 0.49206572 0.48458354 0.47455747]",0.488937535679615,"('n_non_stop_unique_tokens', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity')",0.0051052825520313885,0.006873829987115709,0.002291276662371903
24,"(4, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50)","[0.4872422  0.48869836 0.49077809 0.48322288 0.49970289 0.49280253
 0.49690742 0.49206572 0.48458354 0.47455747]",0.48905611142740657,"('n_non_stop_unique_tokens', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity')",0.005084817068119638,0.006846274948666868,0.0022820916495556224
25,"(4, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50)","[0.48709761 0.48862681 0.49075405 0.48245695 0.49867408 0.49280253
 0.49705247 0.49191217 0.48428499 0.47426909]",0.48879307579384934,"('n_non_stop_unique_tokens', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity')",0.005090805911743133,0.006854338418703594,0.002284779472901198
26,"(4, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50, 55)","[0.4872422  0.48763544 0.4906163  0.48241813 0.50203664 0.49270662
 0.49585736 0.49191217 0.48445012 0.47426909]",0.4889144070260989,"('n_non_stop_unique_tokens', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity', 'title_sentiment_polarity')",0.005395339308392776,0.0072643668104006584,0.002421455603466886
27,"(4, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 30, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50, 55)","[0.4872422  0.48746668 0.49099317 0.48241813 0.50195187 0.4929698
 0.49544651 0.49175928 0.48444859 0.47426909]",0.4888965322396853,"('n_non_stop_unique_tokens', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_tuesday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity', 'title_sentiment_polarity')",0.0053713294882737185,0.007232039623837018,0.002410679874612339
28,"(4, 6, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 30, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50, 55)","[0.48636531 0.48685468 0.49037345 0.48576354 0.49738857 0.49278442
 0.49722426 0.48958996 0.48523133 0.47517593]",0.4886751468465146,"('n_non_stop_unique_tokens', 'num_self_hrefs', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_tuesday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity', 'title_sentiment_polarity')",0.00458341207324784,0.006171175646265286,0.0020570585487550952
29,"(4, 5, 6, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 30, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50, 55)","[0.48901171 0.48919839 0.49547183 0.48447394 0.49852545 0.49253001
 0.49619882 0.4860313  0.48239973 0.47585642]",0.488969759079536,"('n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_tuesday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity', 'title_sentiment_polarity')",0.004940848732843902,0.00665243379489572,0.0022174779316319064
30,"(4, 5, 6, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 30, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50, 55, 57)","[0.48893117 0.48853292 0.49553925 0.4855267  0.49852545 0.49355606
 0.4964419  0.48899173 0.48819808 0.47639029]",0.49006335512357324,"('n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_tuesday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity', 'title_sentiment_polarity', 'abs_title_sentiment_polarity')",0.0045193508180674325,0.006084922599076714,0.002028307533025571
31,"(4, 5, 6, 7, 11, 12, 13, 15, 16, 17, 23, 24, 25, 26, 27, 29, 30, 33, 36, 37, 38, 39, 40, 41, 42, 43, 45, 50, 51, 55, 57)","[0.48812422 0.48878129 0.4963961  0.48588265 0.50143186 0.49381287
 0.49657776 0.48871931 0.488123   0.47646338]",0.4904312428044775,"('n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'weekday_is_tuesday', 'weekday_is_friday', 'is_weekend', 'LDA_00', 'LDA_01', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'global_sentiment_polarity', 'global_rate_negative_words', 'max_positive_polarity', 'avg_negative_polarity', 'title_sentiment_polarity', 'abs_title_sentiment_polarity')",0.004914843195896554,0.006617419544875688,0.0022058065149585626
